id_localid,name,x,y,powiat,wojewodztwo
153190120,Rodzone,19.659722,53.522222,iławski,warmińsko-mazurskie
153190130,Kuligi,19.690833,53.429721999999984,nowomiejski,warmińsko-mazurskie
153190140,Samborowo,19.805833,53.66944399999998,iławski,warmińsko-mazurskie
153190150,Lidzbark,19.818611,53.266667000000005,działdowski,warmińsko-mazurskie
153190160,Brudnice,19.866944,53.070278,żuromiński,mazowieckie
153190170,Ostróda,19.959444,53.702777999999995,ostródzki,warmińsko-mazurskie
153190180,Bachotek 2,19.443056,53.32000000000001,brodnicki,kujawsko-pomorskie
153190190,Tama Brodzka,19.476944,53.28138899999999,brodnicki,kujawsko-pomorskie
153195510,Susz,19.330556,53.71083299999998,iławski,warmińsko-mazurskie
153195520,Kolonia Osiek,19.395833,53.18333299999998,brodnicki,kujawsko-pomorskie
153199995,Kołodziejki,19.813889,53.58444399999999,ostródzki,warmińsko-mazurskie
153199996,Karaś,19.498611,53.567778,iławski,warmińsko-mazurskie
153199997,Sitno,19.104444,53.04416699999999,golubsko-dobrzyński,kujawsko-pomorskie
153199999,Szembruk,19.014167,53.566110999999985,grudziądzki,kujawsko-pomorskie
153200010,Idzbark,20.034167000000004,53.672222,ostródzki,warmińsko-mazurskie
153200020,Szreńsk,20.128333,53.00972199999999,mławski,mazowieckie
153200030,Kalisty,20.195833,53.917222,olsztyński,warmińsko-mazurskie
153200040,Tomaryny,20.206667,53.736110999999994,olsztyński,warmińsko-mazurskie
153200050,Sarnowo,20.246389,53.268889,nidzicki,warmińsko-mazurskie
153200060,Dorotowo,20.413056,53.698888999999994,olsztyński,warmińsko-mazurskie
153200070,Olsztyn-Kortowo,20.471667,53.756388999999984,Olsztyn,warmińsko-mazurskie
153200080,Jabłonka,20.557778,53.495277999999985,nidzicki,warmińsko-mazurskie
153200090,Szypry,20.573611,53.835556,olsztyński,warmińsko-mazurskie
153200100,Kośno,20.701111,53.668611,olsztyński,warmińsko-mazurskie
153200110,Pasym,20.756388999999995,53.63499999999999,szczycieński,warmińsko-mazurskie
153200120,Leleszki,20.811389,53.63250000000001,szczycieński,warmińsko-mazurskie
153200130,Kikity,20.846389000000002,53.97888900000001,olsztyński,warmińsko-mazurskie
153200140,Dadaj,20.8875,53.858056000000005,olsztyński,warmińsko-mazurskie
153200150,Jęcznik,20.909722,53.62916700000001,szczycieński,warmińsko-mazurskie
153200160,Wielbark,20.944166999999997,53.401666999999996,szczycieński,warmińsko-mazurskie
153200170,Klimkowo,20.820556,53.81583299999999,olsztyński,warmińsko-mazurskie
153200180,Wilimy,20.867778,53.903610999999984,olsztyński,warmińsko-mazurskie
153200190,Kojtryny,20.869167,53.83111099999999,olsztyński,warmińsko-mazurskie
153200200,Droszewo,20.880833,53.902778,olsztyński,warmińsko-mazurskie
153205510,Gierzwałd,20.088889,53.53833299999999,ostródzki,warmińsko-mazurskie
153209993,Sąpłaty,20.880833,52.73222199999999,pułtuski,mazowieckie
153209998,Stare Jabłonki,20.083333,53.689443999999995,ostródzki,warmińsko-mazurskie
153210010,Krukowo,21.1075,53.30916700000001,przasnyski,mazowieckie
153210020,Krasnosielc,21.154444000000005,53.03527799999999,makowski,mazowieckie
153210030,Kiersztanowo,21.261111,53.931110999999994,mrągowski,warmińsko-mazurskie
153210040,Myszyniec,21.340833,53.386388999999994,ostrołęcki,mazowieckie
153210050,Spychowo,21.348889,53.608333,szczycieński,warmińsko-mazurskie
153210060,Zgon,21.396667,53.65249999999999,mrągowski,warmińsko-mazurskie
153210070,Białobrzeg Bliższy,21.478611,53.10833299999999,ostrołęcki,mazowieckie
153210080,Ukta,21.499167,53.688332999999986,piski,warmińsko-mazurskie
153210090,Ostrołęka,21.562778,53.083889,Ostrołęka,mazowieckie
